id,title,metaDescription,char_count
kubernetes-script-runner,Run a Python script in a Kubernetes pod,Run a Python script in a Kubernetes pod. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,131
kv-store-purge,Purge KV Store,Purge KV Store using Schedule. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,121
listen-debezium,"Use Debezium to trigger a flow whenever new entries hit a Postgres database, then send notification to Slack and process data in Python",Use Debezium to trigger a flow whenever new entries hit a Postgres database. Automate this process reliably. Open-source and ready to use.,138
load-multiple-csv-files-into-excel,Load multiple CSV files from an HTTP API into Excel Sheets,Load multiple CSV files from an HTTP API into Excel Sheets. Automate this process reliably and focus on what matters. Open-source and ready to use.,147
load-pokemon,Extract JSON data from an API and load it as a document to MongoDB,Extract JSON data from an API and load it as a document to MongoDB. Automate this process reliably and focus on what matters. Open-source and ready to use.,155
loguru,Logging configuration in a Python script using Loguru,Logging configuration in a Python script using Loguru using Docker. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,158
manage-aiven-resources-from-cli,Manage Aiven resources from the CLI — start and stop services or databases on schedule,Manage Aiven resources from the CLI — start and stop services or databases on schedule using Python and Docker. Master Kestra workflow patterns.,144
microservices-and-apis,Getting started with Kestra — a Microservices and APIs workflow example,Getting started with Kestra — a Microservices and APIs workflow example using Slack. Get up and running with Kestra in minutes. Open-source and ready to use.,157
monthly-sales-report,"Upload data to S3 in Python using boto3, transform it in a SQL query with DuckDB and send a CSV report via email every first day of the month",Upload data to S3 in Python using boto3 using Docker. Automate this process reliably and focus on what matters. Open-source and ready to use.,141
multi-cloud-deployment,"Multi-cloud deployment pipeline with Docker, ngrok, GCP Cloud Run, and Azure Container Apps",Multi-cloud deployment pipeline with Docker using Git and Shell. Automate cloud operations without writing glue code. Open-source and ready to use.,147
namespace-sync-from-git,Sync namespace resources between Git and Kestra at regular intervals,Sync namespace resources between Git and Kestra at regular intervals. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,160
nutanix-safe-patching-workflow,Nutanix safe patching with snapshot rollback,Nutanix safe patching with snapshot rollback using Shell and Slack. Automate this process reliably and focus on what matters. Open-source and ready to use.,155
on-demand-cluster-job,Run a task on an on-demand Databricks cluster,Run a task on an on-demand Databricks cluster. Automate cloud operations without writing glue code. Open-source and ready to use.,129
on-failure-alert,Error handling: send Slack alert on failure,Error handling: send Slack alert on failure using Shell. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,147
opa-policy-gate-ci,Enforce CI/CD guardrails with OPA (Rego) policy gate,Enforce CI/CD guardrails with OPA (Rego) policy gate. Automate this process reliably and focus on what matters. Open-source and ready to use.,141
openai-dall-e-create-image,Create an image using OpenAI's DALL-E,Create an image using OpenAI's DALL-E. Automate intelligent workflows without custom AI infrastructure. Open-source and ready to use.,133
opsgenie-notify-on-failure,Send a notification via Opsgenie when a workflow fails,Send a notification via Opsgenie when a workflow fails. Automate this process reliably and focus on what matters. Open-source and ready to use.,143
orchestrate-zenml,Run a ZenML flow from Kestra until its completion and stream logs in real-time,Run a ZenML flow from Kestra until its completion and stream logs in real-time using Python. Automate this process reliably. Open-source and ready to use.,154
papermill-notebook,Run a Papermill notebook,Run a Papermill notebook using Python. Automate this process reliably and focus on what matters. Open-source and ready to use.,126
parallel-files,Process files in parallel,Process files in parallel using Shell. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,129
parallel-python,Add a parametrized Python script as a Namespace File and run it in parallel in Docker containers,Add a parametrized Python script as a Namespace File and run it in parallel in Docker containers. Master Kestra workflow patterns. Open-source and ready to use.,160
parallel-subflows,Run multiple subflows in parallel and wait for their completion - use taskDefaults to avoid boilerplate code,Run multiple subflows in parallel and wait for their completion - use taskDefaults to avoid boilerplate code. Master Kestra workflow patterns.,142
parametrized-flow-with-multiple-schedules,Parametrized workflow with multiple schedules,Parametrized workflow with multiple schedules. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,137
parquet-duckdb-to-excel,Extract and transform a Parquet file using DuckDB and export it in Excel format,Extract and transform a Parquet file using DuckDB and export it in Excel format. Automate this process reliably. Open-source and ready to use.,142
parse-pdf,Download a PDF file and extract text from it using Apache Tika,Download a PDF file and extract text from it using Apache Tika. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,154
parse-twitter-json-payload,Check if a given key exists in a JSON REST API payload,Check if a given key exists in a JSON REST API payload. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,146
pass-data-between-subflows,Pass data between subflows — use outputs from the child flow in a parent flow,Pass data between subflows — use outputs from the child flow in a parent flow. Master Kestra workflow patterns. Open-source and ready to use.,141
pass-data-between-tasks,Pass data between Python script tasks and Shell tasks using Outputs,Pass data between Python script tasks and Shell tasks using Outputs using Docker. Master Kestra workflow patterns. Open-source and ready to use.,144
pinot-to-bigquery,Extract data from Apache Pinot into a CSV format and load it into BigQuery,Extract data from Apache Pinot into a CSV format and load it into BigQuery. Automate this process reliably. Open-source and ready to use.,137
postgres-s3-python-git,"Extract data from an API and load it to Postgres using Python, Git and Docker (passing custom environment variables to the container)",Extract data from an API and load it to Postgres using Python. Automate this process reliably and focus on what matters. Open-source and ready to use.,150
postgres-s3-python-script,"Extract data from an API using Python, then load it to Postgres and S3","Extract data from an API using Python, then load it to Postgres and S3. Automate this process reliably and focus on what matters. Open-source and ready to use.",159
postgres-to-pandas-dataframes,Extract multiple tables from Postgres using SQL queries and process those as Pandas dataframes on schedule,Extract multiple Postgres tables via SQL and process them as Pandas dataframes on schedule using Python. Automate this process reliably. Open-source.,149
prefect-to-resend-weekly,Trigger Prefect flow weekly and send email notification,Trigger Prefect flow weekly and send email notification using Resend. Automate this process reliably and focus on what matters. Open-source and ready to use.,157
process-s3-file-if-changed,Process a file from S3 only if it changed since the last execution,Process a file from S3 only if it changed since the last execution using Python and Docker. Automate cloud operations without writing glue code.,144
process-script-runner,Run a Shell script as a subprocess on the Kestra host,Run a Shell script as a subprocess on the Kestra host. Automate this process reliably and focus on what matters. Open-source and ready to use.,142
produce-kafka-message,Extract data from a REST API and send it to a Kafka topic using the Kafka producer task,Extract data from a REST API and send it to a Kafka topic using the Kafka producer task. Automate this process reliably. Open-source and ready to use.,150
produce-to-rabbitmq,Read a CSV file and load each row into RabbitMQ,Read a CSV file and load each row into RabbitMQ. Automate this process reliably and focus on what matters. Open-source and ready to use.,136
pulsar-realtime-trigger,Use Pulsar Realtime Trigger to push events into MySQL,Use Pulsar Realtime Trigger to push events into MySQL. Automate this process reliably and focus on what matters. Open-source and ready to use.,142
purge-disk-space-interactively,"Interactively purge logs, executions, and internal storage files to free up disk space","Purge logs, executions, and storage files interactively to free up disk space. Master Kestra workflow patterns with a ready-to-run example.",139
purge,"Purge execution data including logs, metrics and outputs on a schedule","Purge execution data — logs, metrics, and outputs — on a schedule. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.",157
push-to-git,Push code to Git at regular intervals,Push code to Git at regular intervals. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,129
python-aws-ecr,Pull a container image from Amazon ECR registry and run a Python script,Pull a container image from Amazon ECR registry and run a Python script using AWS ECR and Docker. Automate cloud operations without writing glue code.,150
python-csv-each-parallel,Transform data from CSV files with Pandas in Python containers (in parallel),Transform data from CSV files with Pandas in Python containers (in parallel) using Docker. Automate this process reliably. Open-source and ready to use.,152
python-docker-artifact-registry-gcp,Run Python script in a Docker container based on Google Artifact Registry container image,Run Python script in a Docker container based on Google Artifact Registry container image. Automate cloud operations without writing glue code.,143
python-generate-outputs,"Run a Python script and generate outputs, metrics and files specified with a variable",Run a Python script and generate outputs. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,132
python-partitions-metrics,"Process partitions in parallel in Python, report outputs and metrics about number of rows and processing time for all partitioned files",Process partitions in parallel in Python using Docker. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,145
python-subflow-component,"Create a Python subflow, acting like an abstracted component",Create a Python subflow using Docker. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,128
query-clickhouse,Ingest data to and query data from ClickHouse,Ingest data to and query data from ClickHouse. Automate this process reliably and focus on what matters. Open-source and ready to use.,134
react-to-sqs-trigger,React to an SQS trigger,React to an SQS trigger using Shell. Automate cloud operations without writing glue code. Open-source and ready to use.,119
redis-generate-mock-user-json,Set a single mock user JSON in Redis,Set a single mock user JSON in Redis. Automate this process reliably and focus on what matters. Open-source and ready to use.,125
redis-key-value-store,Store and retrieve JSON data using Redis,Store and retrieve JSON data using Redis. Automate this process reliably and focus on what matters. Open-source and ready to use.,129
redis-list-realtime-trigger,Use Redis List Realtime Trigger to push events into Cassandra,Use Redis List Realtime Trigger to push events into Cassandra. Automate this process reliably and focus on what matters. Open-source and ready to use.,150
redis-list,Add a list of strings to Redis,Add a list of strings to Redis. Automate this process reliably and focus on what matters. Open-source and ready to use.,119
redis-set-parallel,Add multiple Redis keys in parallel from JSON input,Add multiple Redis keys in parallel from JSON input. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,143
regex-input,Parametrized flow with custom validators to ensure correct integer value range and Regex-based string pattern validation,Parametrized flow with custom validators to ensure correct integer value range and Regex-based string pattern validation. Master Kestra workflow patterns.,154
request-resources,Use conditional inputs to request compute resources and wait for approval,Use conditional inputs to request compute resources and wait for approval using Slack. Master Kestra workflow patterns. Open-source and ready to use.,149
retries,Retry a failing task up to 4 times (allowing up to 5 attempts with up to 4 retries),Retry a failing task up to 4 times (allowing up to 5 attempts with up to 4 retries) using Shell. Master Kestra workflow patterns. Open-source and ready to use.,159
runif-task-attribute,Run the task based on runIf condition,Run the task based on runIf condition using Schedule. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,144
s3-dataset-assets,Register S3 JSON files as governed datasets and curate them with DuckDB,Register S3 JSON files as governed datasets and curate them with DuckDB. Automate this process reliably and focus on what matters. Open-source and ready to use.,160
s3-map-over-objects,List objects in an S3 bucket and process them in parallel,List objects in an S3 bucket and process them in parallel. Automate cloud operations without writing glue code. Open-source and ready to use.,141
s3-parallel-uploads,"Download a zip file, unzip it and upload all files in parallel to AWS S3 - using pluginDefaults to avoid boilerplate code","Download a zip file, unzip it, and upload all files in parallel to AWS S3. Automate cloud operations without writing glue code. Open-source and ready to use.",157
s3-trigger-duckdb,"Anomaly detection using DuckDB SQL query and S3 file event trigger, sending a CSV file attachment via email if anomalies are detected",Anomaly detection using DuckDB SQL query and S3 file event trigger. Automate cloud operations without writing glue code. Open-source and ready to use.,150
s3-trigger-python,Detect New Files in S3 and process them in Python,Detect New Files in S3 and process them in Python using Docker. Automate cloud operations without writing glue code. Open-source and ready to use.,146
s3-trigger,AWS S3 Event Trigger ,AWS S3 Event Trigger. Automate cloud operations without writing glue code. Open-source and ready to use.,104
salesforce-postgres-sync,Sync customer data from Postgres to Salesforce,Sync customer data from Postgres to Salesforce. Eliminate repetitive manual tasks and reclaim your time. Open-source and ready to use.,134
salesforce-query-company,Query customer data from Salesforce,Query customer data from Salesforce. Eliminate repetitive manual tasks and reclaim your time. Open-source and ready to use.,123
scan-dynamodb-table,Extract and process data from DynamoDB,Extract and process data from DynamoDB using Shell. Automate cloud operations without writing glue code. Open-source and ready to use.,134
schedule-condition-datetimebetween,Executes flow on schedule trigger with DateTimeBetween condition,Executes flow on schedule trigger with DateTimeBetween condition. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,156
schedule-condition-dayweek,Executes flow on schedule trigger with DayWeek condition,Executes flow on schedule trigger with DayWeek condition. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,148
schedule-condition-dayweekinmonth,Executes flow on schedule trigger with DayWeekInMonth condition,Executes flow on schedule trigger with DayWeekInMonth condition. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,155
schedule-condition-not,Executes flow on schedule trigger with Not condition,Executes flow on schedule trigger with Not condition. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,144
schedule-condition-or,Executes flow on schedule trigger with Or condition,Executes flow on schedule trigger with Or condition. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,143
schedule-condition-publicholiday,Executes flow on schedule trigger with PublicHoliday condition,Executes flow on schedule trigger with PublicHoliday condition. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,154
schedule-condition-timebetween,Executes flow on schedule trigger with TimeBetween condition,Executes flow on schedule trigger with TimeBetween condition. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,152
schedule-condition-weekend,Executes flow on schedule trigger with Weekend condition,Executes flow on schedule trigger with Weekend condition. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,148
send-email-with-attachment,Send an email and corresponding attachments with Resend,Send an email and corresponding attachments with Resend. Eliminate repetitive manual tasks and reclaim your time. Open-source and ready to use.,143
sendgrid-notify-on-failure,Send a SendGrid email notification when a workflow fails,Send a SendGrid email notification when a workflow fails. Never miss a critical failure with instant automated alerts. Open-source and ready to use.,148
sensitive-data,"Extract data, mask sensitive columns using DuckDB and load it to BigQuery","Extract data, mask sensitive columns using DuckDB and load it to BigQuery. Automate cloud operations without writing glue code. Open-source and ready to use.",157
sentry-alert,Send an alert to Sentry when a flow fails,Send an alert to Sentry when a flow fails. Automate this process reliably and focus on what matters. Open-source and ready to use.,130
shell-scripts,Run Shell Scripts and Shell commands in a working directory using a Process Task Runner,Run Shell Scripts and Shell commands in a working directory using a Process Task Runner. Master Kestra workflow patterns. Open-source and ready to use.,151
slack-failure-alert,Failure notifications to Slack to monitor the health of production workflows,Failure notifications to Slack to monitor the health of production workflows. Eliminate repetitive manual tasks. Open-source and ready to use.,142
slack-project-channel,"Bootstrap a Project Slack Channel (Create, Invite, Welcome)","Bootstrap a Project Slack Channel (Create, Invite, Welcome). Eliminate repetitive manual tasks and reclaim your time. Open-source and ready to use.",147
slack-weekly-standup-reminder,Weekly Stand-up Reminder in Slack,Weekly Stand-up Reminder in Slack. Eliminate repetitive manual tasks and reclaim your time. Open-source and ready to use.,121
snowflake-query-trigger,Event-driven workflow based on a Snowflake query condition,Event-driven workflow based on a Snowflake query condition using Shell. Automate this process reliably and focus on what matters. Open-source and ready to use.,159
snowflake-query,Query data in Snowflake,Query data in Snowflake. Automate this process reliably and focus on what matters. Open-source and ready to use.,112
snowflake,"Snowflake ETL: load files to internal stage, copy from stage to a table and run analytical SQL queries ",Snowflake ETL: load files to internal stage. Automate this process reliably and focus on what matters. Open-source and ready to use.,132
splunk-log-shipper,Ship Kestra logs to Splunk,Ship Kestra logs to Splunk. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,118
sqlmesh,Orchestrate SQLMesh and DuckDB engine,Orchestrate SQLMesh and DuckDB engine using Git. Automate this process reliably and focus on what matters. Open-source and ready to use.,136
surreal-db-slack,CRUD operations in SurrealQL: run multiple SurrealDB queries and send the query results via Slack,CRUD operations in SurrealQL: run multiple SurrealDB queries and send the query results via Slack. Automate this process reliably. Open-source and ready to use.,160
surreal-db,Query SurrealDB and store the result as a downloadable artifact,Query SurrealDB and store the result as a downloadable artifact. Automate this process reliably and focus on what matters. Open-source and ready to use.,152
switch,Switch tasks depending on a specific value,Switch tasks depending on a specific value. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,134
sync-from-git,Sync code from Git at regular intervals,Sync code from Git at regular intervals. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,131
system-readonly-label,Using system readOnly label to disable editing the flow from UI,Using system readOnly label to disable editing the flow from UI. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,155
tcp-send-example,Send a TCP message to a remote host for network checks and infrastructure automation,Send a TCP message to a remote host for network checks and infrastructure automation using Shell. Master Kestra workflow patterns. Open-source and ready to use.,160
telegram-notify-on-failure,Send a Telegram notification when a workflow fails,Send a Telegram notification when a workflow fails. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,142
tenant-sync-from-git,Sync tenant resources at regular intervals,Sync tenant resources at regular intervals using Git. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,144
trigger-subflow,Trigger a sub Flow,Trigger a sub Flow. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,110
unreliable-flow,Send an alert to Zenduty when a flow fails,Send an alert to Zenduty when a flow fails using Shell. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,146
upload-to-s3,Extract a CSV file via HTTP API and upload it to S3 by using scheduled date as a filename,Extract a CSV file via HTTP API and upload it to S3 by using scheduled date as a filename. Automate cloud operations without writing glue code.,143
vm-event-based-cleanup,Event-driven VM cleanup from vCenter removal events,Event-driven VM cleanup from vCenter removal events. Automate this process reliably and focus on what matters. Open-source and ready to use.,140
wdir-pandas-python-outputs,Pandas ETL - passing data between Python script tasks running in separate containers,Pandas ETL - passing data between Python script tasks running in separate containers using Docker. Automate this process reliably. Open-source and ready to use.,160
weaviate-csv,"Extract data from a CSV file, load it in batch to Weaviate and query it with GraphQL",Load CSV data in batch to Weaviate and query it with GraphQL. Automate intelligent workflows without custom AI infrastructure. Open-source and ready to use.,156
weaviate-load-and-query,"Extract data from a REST API, load it to Weaviate and query it with GraphQL",Load REST API data into Weaviate and query it with GraphQL. Automate intelligent workflows without custom AI infrastructure. Open-source and ready to use.,154
weekly-confluence-recap,Weekly recap of GitHub issues and Google Calendar meetings sent to Confluence,Weekly recap of GitHub issues and Google Calendar meetings sent to Confluence using Slack. Eliminate repetitive manual tasks. Open-source and ready to use.,155
weekly-notion-recap,Weekly recap of GitHub issues and Google Calendar meetings sent to Notion,Weekly recap of GitHub issues and Google Calendar meetings sent to Notion using Slack. Eliminate repetitive manual tasks. Open-source and ready to use.,151
whatsapp-notify-on-failure,Send a WhatsApp notification when a workflow fails,Send a WhatsApp notification when a workflow fails. Master Kestra workflow patterns with a ready-to-run example. Open-source and ready to use.,142
wikipedia-top10-python-pandas,Use BigQuery and Python script running in Docker to analyze Wikipedia page views,Use BigQuery and Python script running in Docker to analyze Wikipedia page views. Automate this process reliably. Open-source and ready to use.,143
zapier-trigger-zap,Trigger a Zapier Zap,Trigger a Zapier Zap. Eliminate repetitive manual tasks and reclaim your time. Open-source and ready to use.,108
zenduty-failure-alert,Send an alert to Zenduty when any flow fails in the company namespace,Send an alert to Zenduty when any flow fails in the company namespace. Master Kestra workflow patterns. Open-source and ready to use.,133
zip-to-parquet,Convert a zipped CSV file to Parquet using a Python ETL workflow,Convert a zipped CSV file to Parquet using a Python ETL workflow using Docker. Master Kestra workflow patterns. Open-source and ready to use.,141
